Suhu Udara (°C),Tekanan Udara Area Pit (hPa),Kelembapan Jalur Hauling (%),Kecepatan Angin (m/s),Curah Hujan (mm),Kepadatan Dump Truck (Unit/Jam),Indeks Aktivitas Blasting (Ppm),Debu_1_Jam_Lalu,Debu_2_Jam_Lalu,Tren_Suhu_3Jam,Tren_Truk_3Jam
-1.1,1023.5,-18.2,5.6,0.0,300.0,5.0,8.0,4.0,-0.9666666666666668,300.0
-1.4,1024.5,-19.4,3.1,0.0,300.0,11.0,7.0,8.0,-1.2,300.0
-2.0,1025.2,-19.5,2.0,0.0,300.0,12.0,6.0,7.0,-1.5,300.0
-2.2,1025.6,-19.6,3.7,0.0,400.0,18.0,3.0,6.0,-1.8666666666666665,333.3333333333333
-2.6,1026.5,-19.1,2.5,0.0,500.0,18.0,5.0,3.0,-2.266666666666667,400.0
-1.6,1027.4,-19.1,3.8,0.0,500.0,19.0,3.0,5.0,-2.1333333333333333,466.6666666666667
0.1,1028.3,-19.2,4.1,0.0,500.0,16.0,3.0,3.0,-1.366666666666667,500.0
1.2,1028.5,-19.3,2.6,0.0,400.0,12.0,3.0,3.0,-0.10000000000000002,466.6666666666667
1.9,1028.2,-19.4,3.6,0.0,400.0,9.0,3.0,3.0,1.0666666666666667,433.3333333333333
2.9,1028.2,-20.5,3.7,0.0,400.0,9.0,3.0,3.0,2.0,400.0
3.9,1027.3,-19.7,5.1,0.0,300.0,7.0,3.0,3.0,2.9,366.6666666666667
5.3,1026.2,-19.3,4.3,0.0,400.0,7.0,3.0,3.0,4.033333333333333,366.6666666666667
6.0,1025.9,-19.6,4.4,0.0,400.0,7.0,3.0,3.0,5.066666666666666,366.6666666666667
6.2,1025.7,-18.6,2.8,0.0,400.0,7.0,6.0,3.0,5.833333333333333,400.0
5.9,1025.6,-18.1,3.9,0.0,400.0,9.0,8.0,6.0,6.033333333333334,400.0
4.3,1026.3,-18.7,2.8,0.0,400.0,11.0,9.0,8.0,5.466666666666666,400.0
3.1,1027.4,-18.4,2.1,0.0,500.0,8.0,10.0,9.0,4.433333333333334,433.3333333333333
2.3,1028.3,-18.4,2.8,0.0,500.0,12.0,11.0,10.0,3.233333333333333,466.6666666666667
1.7,1029.1,-17.3,2.1,0.0,600.0,13.0,8.0,11.0,2.3666666666666667,533.3333333333334
0.6,1030.1,-16.7,0.8,0.0,500.0,16.0,11.0,8.0,1.5333333333333332,533.3333333333334
0.9,1030.5,-17.4,1.8,0.0,700.0,21.0,12.0,11.0,1.0666666666666667,600.0
-0.2,1030.5,-17.4,1.4,0.0,600.0,26.0,15.0,12.0,0.43333333333333335,600.0
-0.4,1031.0,-17.6,1.4,0.0,500.0,24.0,24.0,15.0,0.09999999999999999,600.0
-1.0,1031.3,-17.3,1.1,0.0,400.0,21.0,22.0,24.0,-0.5333333333333333,500.0
-1.5,1030.9,-16.9,1.7,0.0,400.0,20.0,14.0,22.0,-0.9666666666666667,433.3333333333333
-1.4,1030.6,-17.6,1.4,0.0,400.0,13.0,13.0,14.0,-1.3,400.0
-1.5,1030.8,-17.7,0.9,0.0,400.0,18.0,3.0,13.0,-1.4666666666666668,400.0
-1.8,1030.1,-17.5,2.0,0.0,500.0,19.0,3.0,3.0,-1.5666666666666667,433.3333333333333
-2.5,1029.6,-17.7,0.7,0.0,500.0,28.0,9.0,3.0,-1.9333333333333336,466.6666666666667
-1.7,1029.8,-17.0,1.2,0.0,500.0,34.0,4.0,9.0,-2.0,500.0
-0.4,1029.6,-17.6,1.8,0.0,500.0,21.0,3.0,4.0,-1.5333333333333334,500.0
0.6,1029.7,-16.7,1.7,0.0,700.0,47.0,3.0,3.0,-0.5000000000000001,566.6666666666666
1.7,1028.9,-16.3,1.6,0.0,600.0,36.0,10.0,3.0,0.6333333333333332,600.0
2.2,1028.2,-16.8,3.1,0.0,800.0,36.0,11.0,10.0,1.5,700.0
2.7,1027.3,-16.4,2.7,0.0,900.0,25.0,18.0,11.0,2.1999999999999997,766.6666666666666
3.3,1025.7,-16.4,1.5,0.0,700.0,20.0,26.0,18.0,2.733333333333333,800.0
3.8,1024.8,-16.0,1.3,0.0,700.0,22.0,25.0,26.0,3.266666666666666,766.6666666666666
3.9,1024.1,-16.5,1.2,0.0,700.0,24.0,26.0,25.0,3.6666666666666665,700.0
3.5,1023.6,-15.2,2.5,0.0,1000.0,29.0,37.0,26.0,3.733333333333333,800.0
2.2,1023.4,-13.6,0.4,0.0,1200.0,45.0,37.0,37.0,3.1999999999999997,966.6666666666666
1.2,1023.2,-12.3,0.9,0.0,1100.0,50.0,44.0,37.0,2.3,1100.0
1.5,1022.9,-13.8,1.2,0.0,1300.0,50.0,54.0,44.0,1.633333333333333,1200.0
1.2,1022.9,-14.1,1.2,0.0,1399.0,54.0,61.0,54.0,1.2999999999999998,1266.3333333333333
0.6,1022.6,-14.2,1.3,0.0,1399.0,72.0,67.0,61.0,1.0999999999999999,1366.0
-0.6,1022.3,-13.9,1.4,0.0,1500.0,84.0,74.0,67.0,0.39999999999999986,1432.6666666666667
-0.8,1021.1,-13.4,1.3,0.0,1700.0,87.0,81.0,74.0,-0.26666666666666683,1533.0
